pair_id,fold,dice_a,dice_b,dice_mean,iou_mean,dice_pmax,hd95_a,hd95_b,hd95_mean,dice_oracle,dice_copy
A23_H7__t1_t2,1,0.8735599487981794,0.7971994205697731,0.8678290962331958,0.7665177521749353,0.8151220668404835,7.017766952966369,15.700149580001531,11.908702802606694,0.8735599487981794,0.8374825174825175
A23_H8__t1_t2,1,0.7946787148594378,0.7793068297655453,0.7933130699088146,0.6574307304785895,0.765875868679607,21.399999999999977,15.965247584249845,19.083297567789515,0.7946787148594378,0.4161893852615502
A24_H4__t1_t2,1,0.28941491737382763,0.5372093023255814,0.3843978317228376,0.23792851932895698,0.46390510610694097,48.79114414908058,63.7922403551043,55.270164878142175,0.5372093023255814,0.4682769178431706
A24_H4__t2_t3,1,0.8033937975424225,0.7759048091224591,0.8297246725474472,0.7089995431703975,0.7788746298124383,11.538595235189906,29.715299607053986,27.103851573058357,0.8033937975424225,0.2819148936170212
A4_H10__t1_t2,1,0.543718745264434,0.0,0.19660250656560618,0.10901784397581478,0.4777120945837993,152.1886114600443,236.77658163021465,168.0101173769833,0.543718745264434,0.7132870997154146
A4_H3__t1_t2,1,0.06198347107438017,0.5495093666369313,0.3584905660377358,0.21839080459770116,0.5314926660914582,52.389525178390336,37.22177651118459,49.410150084630644,0.5495093666369313,0.1433447098976109
A4_H3__t2_t3,1,0.7492625368731564,0.0,0.06164383561643835,0.03180212014134275,0.31474597273853777,6.367768224739608,114.35611698472506,112.08476367902321,0.7492625368731564,0.0
A4_H8__t1_t2,1,0.9373134328358209,0.9173989455184535,0.9457177322074789,0.897025171624714,0.9046538024971623,28.0,7.683839905378869,1.4142135623730951,0.9373134328358209,0.5433854907539118
A4_H8__t2_t3,1,0.8510822510822511,0.8746061751732829,0.8704177323103154,0.7705660377358491,0.8757469606429013,8.94427190999916,6.9124611797498074,8.94427190999916,0.8746061751732829,0.484903381642512
A4_H9__t1_t2,1,0.6144329896907217,0.7492498928418345,0.6248246844319776,0.45436002039775625,0.5900783289817232,70.0585413619436,65.96969000988257,69.63871040765297,0.7492498928418345,0.3996350364963503
A4_H9__t2_t3,1,0.7673216132368149,0.568716780561883,0.6772438803263826,0.5119945167923236,0.5604477611940298,25.0,24.0,23.0,0.7673216132368149,0.5821876867901973
A5_H2__t1_t2,1,0.9003690036900369,0.444647758462946,0.6648721399730821,0.49798387096774194,0.4480578139114724,1.4142135623730951,39.10437947217064,32.36885600733312,0.9003690036900369,0.4967320261437908
A5_H4__t1_t2,1,0.940305414160111,0.9331501831501832,0.9456721915285451,0.896943231441048,0.9389210878288007,2.0,2.8284271247461903,2.0,0.940305414160111,0.2475518997258127
A5_H4__t2_t3,1,0.8203113633056889,0.8114700921240431,0.8179295031917846,0.6919464663066448,0.8129359543436906,16.0435995945923,19.363259134112038,16.278820596099706,0.8203113633056889,0.2708174178762414
A5_H8__t1_t2,1,0.5290806754221389,0.7910906298003072,0.7158615443134272,0.5574644549763034,0.6414157094070164,24.009370934517882,11.40175425099138,20.233631742220645,0.7910906298003072,0.5003909304143862
A5_H8__t2_t3,1,0.6510764662212324,0.5297389816003423,0.6374657802111849,0.46785304247990817,0.6401408450704226,23.08679276123039,24.0,23.08679276123039,0.6510764662212324,0.1794392523364485
A7_H4__t1_t2,1,0.47101449275362317,0.35847750865051903,0.45082680591818974,0.2910112359550562,0.3551912568306011,17.856342143881996,31.98435590225258,23.08679276123039,0.47101449275362317,0.4406490179333903
A7_H4__t2_t3,1,0.09902740937223696,0.0,0.018223234624145785,0.009195402298850575,0.0628154795288839,116.57100592871501,117.94382085670922,115.6643087289197,0.09902740937223696,0.0
A7_H8__t1_t2,1,0.8883794239862445,0.9105255741862759,0.911864406779661,0.838006230529595,0.9131147540983606,7.615773105863909,9.0,7.0,0.9105255741862759,0.7469879518072289
A7_H8__t2_t3,1,0.7044562062489329,0.7162935970848516,0.712635752456473,0.5535618639528656,0.6748904398636585,19.50418129276094,20.12461179749811,19.493136610039706,0.7162935970848516,0.5546629409710094
A9_H9__t1_t2,1,0.9229805886036319,0.907191883019994,0.9203322054752384,0.8524216524216525,0.9046773238602723,2.8284271247461903,4.116950344336776,3.1622776601683795,0.9229805886036319,0.5871559633027523
A9_H9__t2_t3,1,0.8860658991663358,0.9033500192529842,0.8916042569964525,0.8044096728307255,0.9102564102564102,5.830951894845301,2.948528137423855,5.0,0.9033500192529842,0.6142857142857143
A11_H1__t1_t2,2,0.8717948717948718,0.8736141906873615,0.8701594533029613,0.7701612903225806,0.8703296703296703,3.7830532015051896,2.23606797749979,2.888477631085023,0.8736141906873615,0.3324538258575198
